Voltage,Current,Concentration
0.17568,21.3394,15
0.18588,20.68841,15
0.19609,20.12141,15
0.2063,19.52991,15
0.21651,19.11341,15
0.22672,18.95941,15
0.23692,18.75992,15
0.24713,18.51492,15
0.25734,18.66892,15
0.26754,18.73892,15
0.27775,18.72141,15
0.28796,18.92791,15
0.29817,19.19041,15
0.30838,19.34441,15
0.31858,19.51241,15
0.32879,19.89391,15
0.339,20.14941,15
0.34921,20.26841,15
0.35941,20.69191,15
0.36962,21.0139,15
0.37983,21.15391,15
-0.31428,11.31195,20
-0.30408,11.11595,20
-0.29387,11.15795,20
-0.28366,11.15795,20
-0.27346,11.08795,20
-0.26325,11.11595,20
-0.25304,11.24195,20
-0.24283,11.28395,20
-0.23263,11.31195,20
-0.22242,11.52195,20
-0.21221,11.68995,20
-0.202,11.74595,20
-0.19179,12.01195,20
-0.18159,12.26395,20
-0.17138,12.44594,20
-0.16117,12.68394,20
-0.15096,13.08994,20
-0.14076,13.42594,20
-0.13055,13.70594,20
-0.12034,14.27994,20
-0.11013,14.81193,20
-0.09993,15.30193,20
-0.08972,16.05793,20
-0.07951,16.90492,20
-0.0693,17.68192,20
-0.0591,18.53592,20
-0.04889,19.59291,20
-0.03868,20.48891,20
-0.02847,21.2169,20
-0.01827,22.2879,20
-0.00806,23.1909,20
0.00215,23.82789,20
0.01236,24.59089,20
0.02256,25.36089,20
0.03277,25.81588,20
0.04298,26.17288,20
0.05319,26.77488,20
0.06339,27.06188,20
0.0736,27.02688,20
0.08381,27.30688,20
0.09402,27.32788,20
0.10422,26.97788,20
0.11443,26.61388,20
0.12464,26.22888,20
0.13485,25.46589,20
0.14505,24.45089,20
0.15526,23.74739,20
0.16547,22.8269,20
0.17568,21.7664,20
0.18588,21.08041,20
0.19609,20.49591,20
0.2063,19.87991,20
0.21651,19.45641,20
0.22672,19.29891,20
0.23692,19.09591,20
0.24713,18.85092,20
0.25734,19.00841,20
0.26754,19.08891,20
0.27775,19.07841,20
0.28796,19.29891,20
0.29817,19.57891,20
0.30838,19.73991,20
0.31858,19.91841,20
0.32879,20.32441,20
0.339,20.58691,20
0.34921,20.72691,20
0.35941,21.1644,20
0.36962,21.4864,20
0.37983,21.6439,20
-0.31428,11.36795,25
-0.30408,11.17195,25
-0.29387,11.19995,25
-0.28366,11.18595,25
-0.27346,11.10195,25
-0.26325,11.12995,25
-0.25304,11.24195,25
-0.24283,11.26995,25
-0.23263,11.29795,25
-0.22242,11.50795,25
-0.21221,11.64795,25
-0.202,11.71795,25
-0.19179,11.98395,25
-0.18159,12.24995,25
-0.17138,12.41794,25
-0.16117,12.68394,25
-0.15096,13.10394,25
-0.14076,13.43994,25
-0.13055,13.73394,25
-0.12034,14.32194,25
-0.11013,14.86793,25
-0.09993,15.37193,25
-0.08972,16.14193,25
-0.07951,17.03792,25
-0.0693,17.84292,25
-0.0591,18.73892,25
-0.04889,19.83091,25
-0.03868,20.78991,25
-0.02847,21.5739,25
-0.01827,22.7079,25
-0.00806,23.68789,25
0.00215,24.40189,25
0.01236,25.22789,25
0.02256,26.05388,25
0.03277,26.57888,25
0.04298,26.99888,25
0.05319,27.65688,25
0.06339,27.99987,25
0.0736,28.00687,25
0.08381,28.30787,25
0.09402,28.36387,25
0.10422,28.01387,25
0.11443,27.65688,25
0.12464,27.25788,25
0.13485,26.44588,25
0.14505,25.37489,25
0.15526,24.60489,25
0.16547,23.62489,25
0.17568,22.4769,25
